,Адрес,для людей с нарушениями зрения,для людей с нарушениями слуха,для людей передвигающихся на креслах-колясках,для людей c нарушениями опорно-двигательного аппарата,для людей c умственными нарушениями,Название учреждения,vector
0," город Москва, Солнцевский проспект, 10",0,1,0,1,1,филиал Спортивно-досуговый центр Радуга ГБУ города Москвы Молодежный центр Галактика,"филиал Спортивно-досуговый центр Радуга ГБУ города Москвы Молодежный центр Галактика  город Москва, Солнцевский проспект, 10"
1," город Москва, улица Главмосстроя, 9",0,1,0,1,1,филиал Спортивно-досуговый центр Радуга ГБУ города Москвы Молодежный центр Галактика,"филиал Спортивно-досуговый центр Радуга ГБУ города Москвы Молодежный центр Галактика  город Москва, улица Главмосстроя, 9"
2," район Северное Медведково, город Москва, улица Осташковская, 30",1,1,1,1,1,филиал Паллада ГБУ СДЦ Кентавр,"филиал Паллада ГБУ СДЦ Кентавр  район Северное Медведково, город Москва, улица Осташковская, 30"
3," район Северное Медведково, город Москва, проезд Студеный, 4, 4",1,1,0,1,1,филиал Паллада ГБУ СДЦ Кентавр,"филиал Паллада ГБУ СДЦ Кентавр  район Северное Медведково, город Москва, проезд Студеный, 4, 4"
4," район Северное Медведково, город Москва, проезд Шокальского, 41",1,1,1,1,1,филиал Паллада ГБУ СДЦ Кентавр,"филиал Паллада ГБУ СДЦ Кентавр  район Северное Медведково, город Москва, проезд Шокальского, 41"
5," Москва, аллея Жемчуговой, 2, 143966, 3, 2",0,1,1,1,1,парк у прудов Радуга,"парк у прудов Радуга  Москва, аллея Жемчуговой, 2, 143966, 3, 2"
6," Останкинский район, Моска, Проспект Мира, 119, павильон №58",0,1,0,1,1,Павильон №58. Центр «Слово»,"Павильон №58. Центр «Слово»  Останкинский район, Моска, Проспект Мира, 119, павильон №58"
7," Останкинский район, Моска, Проспект Мира, 119, Павильон № 57",1,1,1,1,1,Павильон №57. «Россия — моя история»,"Павильон №57. «Россия — моя история»  Останкинский район, Моска, Проспект Мира, 119, Павильон № 57"
8," Останкинский район, Моска, Проспект Мира, 119, павильон №55",0,1,0,1,1,Павильон №55. Музей оптических иллюзий,"Павильон №55. Музей оптических иллюзий  Останкинский район, Моска, Проспект Мира, 119, павильон №55"
9," Останкинский район, Моска, Проспект Мира, 119, павильон №34",1,1,1,1,1,Павильон №34. Центр «Космонавтика и авиация»,"Павильон №34. Центр «Космонавтика и авиация»  Останкинский район, Моска, Проспект Мира, 119, павильон №34"
10," Останкинский район, Моска, Проспект Мира, 119, павильон № 25",0,1,1,1,1,Павильон №25. Музей «Нефть»,"Павильон №25. Музей «Нефть»  Останкинский район, Моска, Проспект Мира, 119, павильон № 25"
11," Останкинский район, Моска, Проспект Мира, 119, Павильон № 14",0,1,0,1,1,Павильон №14. Выставочно-торговый центр Азербайджанской Республики,"Павильон №14. Выставочно-торговый центр Азербайджанской Республики  Останкинский район, Моска, Проспект Мира, 119, Павильон № 14"
12," Останкинский район, Моска, Проспект Мира, 119, павильон № 13",0,1,1,1,1,Павильон №13. Музей Востока,"Павильон №13. Музей Востока  Останкинский район, Моска, Проспект Мира, 119, павильон № 13"
13," Останкинский район, Моска, Проспект Мира, 119, Павильон №11",0,1,0,0,1,Павильон №11. Выставочно-торговый центр Республики Казахстан,"Павильон №11. Выставочно-торговый центр Республики Казахстан  Останкинский район, Моска, Проспект Мира, 119, Павильон №11"
14," Останкинский район, Моска, Проспект Мира, 119, Павильон №10",0,1,0,0,1,Павильон №10. Выставочно-торговый центр Республики Молдова,"Павильон №10. Выставочно-торговый центр Республики Молдова  Останкинский район, Моска, Проспект Мира, 119, Павильон №10"
15," Обручевский район, город Москва, улица Воронцовские пруды, 2, 1",1,1,1,1,1,Общественный туалет,"Общественный туалет  Обручевский район, город Москва, улица Воронцовские пруды, 2, 1"
16," Вешняки, Москва, Юности, 2, 12",1,1,0,0,1,Музей-усадьба Кусково,"Музей-усадьба Кусково  Вешняки, Москва, Юности, 2, 12"
17," Вешняки, Москва, Юности, 2, 11",1,1,1,1,1,Музей-усадьба Кусково,"Музей-усадьба Кусково  Вешняки, Москва, Юности, 2, 11"
18," Вешняки, Москва, Юности, 2, 10",0,1,0,0,1,Музей-усадьба Кусково,"Музей-усадьба Кусково  Вешняки, Москва, Юности, 2, 10"
19," Москва, Петровка, 25, 1",1,1,1,1,1,Музей современного искусства Петровка 25,"Музей современного искусства Петровка 25  Москва, Петровка, 25, 1"
20," 1, Москва, переулок Ермолаевский, 17, 1, 1",1,1,1,1,1,Музей современного искусства Ермолаевский 17с1,"Музей современного искусства Ермолаевский 17с1  1, Москва, переулок Ермолаевский, 17, 1, 1"
21," Останкинский район, Моска, Проспект Мира, 119, Главный вход (правое крыло), 228",1,1,1,1,1,Музей ВДНХ,"Музей ВДНХ  Останкинский район, Моска, Проспект Мира, 119, Главный вход (правое крыло), 228"
22," город Москва, микрорайон Северное Чертаново, 4, 401",1,1,0,1,0,МКЦ Северное Чертаново,"МКЦ Северное Чертаново  город Москва, микрорайон Северное Чертаново, 4, 401"
23," город Москва, микрорайон Северное Чертаново, 5, г",1,1,1,1,0,МКЦ Северное Чертаново,"МКЦ Северное Чертаново  город Москва, микрорайон Северное Чертаново, 5, г"
24," Пресненский, Москва, Красногвардейские пруды",0,1,1,1,1,Зона отдыха Красногвардейские пруды,"Зона отдыха Красногвардейские пруды  Пресненский, Москва, Красногвардейские пруды"
25," Москва, Москва, поселок завода «Мосрентген», 39, -, -, -, -",1,1,1,1,0,Дом культуры Мосрентген,"Дом культуры Мосрентген  Москва, Москва, поселок завода «Мосрентген», 39, -, -, -, -"
26," Пресненский, Москва, Мантулинская, 5, М, 5",0,1,1,1,1,Детская площадка №2,"Детская площадка №2  Пресненский, Москва, Мантулинская, 5, М, 5"
27," Пресненский, Москва, Красногвардейские пруды, М",0,1,1,1,1,Детская площадка №2,"Детская площадка №2  Пресненский, Москва, Красногвардейские пруды, М"
28," Пресненский, Москва, Мантулинская, 5, М, 5",0,1,1,1,1,Детская площадка №1,"Детская площадка №1  Пресненский, Москва, Мантулинская, 5, М, 5"
29," Москва, проспект Вернадского, 7",0,0,0,0,0,ГУП Большой Московский государственный цирк на проспекте Вернадского,"ГУП Большой Московский государственный цирк на проспекте Вернадского  Москва, проспект Вернадского, 7"
30," Москва, Стромынка, 3",1,1,1,1,0,Государственное бюджетное учреждение культуры города Москвы «Московский Театр Кукол «Жар-Птица»,"Государственное бюджетное учреждение культуры города Москвы «Московский Театр Кукол «Жар-Птица»  Москва, Стромынка, 3"
31," Москва, Свободы, 10",0,0,1,1,1,Государственное бюджетное учреждение культуры города Москвы Московский государственный академический театр танца Гжель,"Государственное бюджетное учреждение культуры города Москвы Московский государственный академический театр танца Гжель  Москва, Свободы, 10"
32," Москва, Малая Дмитровка, 29, 4",0,0,0,0,1,Государственное бюджетное учреждение культуры города Москвы Московская государственная картинная галерея Василия Нестеренко,"Государственное бюджетное учреждение культуры города Москвы Московская государственная картинная галерея Василия Нестеренко  Москва, Малая Дмитровка, 29, 4"
33," Москва, Нагатинская набережная, 54",1,1,0,1,0,Государственное бюджетное учреждение дополнительного образования города Москвы Детская музыкальная школа имени Кара Караева,"Государственное бюджетное учреждение дополнительного образования города Москвы Детская музыкальная школа имени Кара Караева  Москва, Нагатинская набережная, 54"
34," Москва, Днепропетровская, 8 А",1,1,1,1,0,Государственное бюджетное учреждение дополнительного образования города Москвы Детская музыкальная школа имени Б. А. Чайковского,"Государственное бюджетное учреждение дополнительного образования города Москвы Детская музыкальная школа имени Б. А. Чайковского  Москва, Днепропетровская, 8 А"
