,Название площадки,Адрес,vector
0,Цирк Максимус Ступино,"г. Ступино, возле ТЦ ","Цирк Максимус Ступино г. Ступино, возле ТЦ "
1,Театр «Ромэн»,"г.Москва, Ленинградский пр-т., 32/2","Театр «Ромэн» г.Москва, Ленинградский пр-т., 32/2"
2,Кинозал «Молодость»,"Московская обл., г. Пущино, микрорайон АБ, дом 4а","Кинозал «Молодость» Московская обл., г. Пущино, микрорайон АБ, дом 4а"
3,Государственный Кремлевский Дворец,Вход через Троицкие ворота Кремля со стороны Манежа,Государственный Кремлевский Дворец Вход через Троицкие ворота Кремля со стороны Манежа
4,Театр «Шалом»,"г. Москва, Варшавское шоссе, дом 71, корпус 1","Театр «Шалом» г. Москва, Варшавское шоссе, дом 71, корпус 1"
5,Московский Театр Юного Зрителя,"г.Москва, Мамоновский пер., 10","Московский Театр Юного Зрителя г.Москва, Мамоновский пер., 10"
6,Клуб «Sin Room»,"г. Москва, улица Рочдельская, 15с30","Клуб «Sin Room» г. Москва, улица Рочдельская, 15с30"
7,Театр имени Моссовета,"г. Москва, Большая Садовая, д.16, строение 1, сад «Аквариум»","Театр имени Моссовета г. Москва, Большая Садовая, д.16, строение 1, сад «Аквариум»"
8,ГБУК г. Москвы «Театр «Уголок дедушки Дурова»,"г. Москва, ул. Дурова, дом 2 строение 1","ГБУК г. Москвы «Театр «Уголок дедушки Дурова» г. Москва, ул. Дурова, дом 2 строение 1"
9,Театр оперетты,"г.Москва, Большая Дмитровка, дом 6","Театр оперетты г.Москва, Большая Дмитровка, дом 6"
10,Театральный центр «На Страстном»,"г.Москва, Страстной б-р, 8а","Театральный центр «На Страстном» г.Москва, Страстной б-р, 8а"
11,Сказочный театр,"г.Москва, Большой Факельный переулок, д.18 стр.2","Сказочный театр г.Москва, Большой Факельный переулок, д.18 стр.2"
12,Театр имени Ермоловой,"г.Москва, Тверская ул., 5/6","Театр имени Ермоловой г.Москва, Тверская ул., 5/6"
13,Театр «ГИТИС»,"Б.Гнездниковский пер., д.10","Театр «ГИТИС» Б.Гнездниковский пер., д.10"
14,Студия театрального искусства (СТИ),"г.Москва, ул. Станиславского д. 21 стр.7","Студия театрального искусства (СТИ) г.Москва, ул. Станиславского д. 21 стр.7"
15,ДМТЮА / сцена на Малой Дмитровке,ул. Малая Дмитровка д.8 стр. 4,ДМТЮА / сцена на Малой Дмитровке ул. Малая Дмитровка д.8 стр. 4
16,Кафедральный собор святых Петра и Павла,"г.Москва, Старосадский пер. 7/10","Кафедральный собор святых Петра и Павла г.Москва, Старосадский пер. 7/10"
17,Мастерская Петра Фоменко (старое здание),"г.Москва, Кутузовский проспект, дом 30","Мастерская Петра Фоменко (старое здание) г.Москва, Кутузовский проспект, дом 30"
18,ДКиТ МАИ,"г. Москва, Дубосековская 4а","ДКиТ МАИ г. Москва, Дубосековская 4а"
19,Музей Прокофьева,"г. Москва, Камергерский пер, д.6","Музей Прокофьева г. Москва, Камергерский пер, д.6"
20,Малый театр,"г.Москва, Театральный проезд, д.1","Малый театр г.Москва, Театральный проезд, д.1"
21,Театр имени Маяковского (сцена на Сретенке),"г.Москва, Пушкарев пер., 21","Театр имени Маяковского (сцена на Сретенке) г.Москва, Пушкарев пер., 21"
22,МТЦ «Вишневый сад»,"г.Москва, Малая Сухаревская площадь, дом 10","МТЦ «Вишневый сад» г.Москва, Малая Сухаревская площадь, дом 10"
23,Московский продюсерский центр,"Москва,  улица Маршала Малиновского, дом 7","Московский продюсерский центр Москва,  улица Маршала Малиновского, дом 7"
24,Villa a la Russe,"Московская обл. ,д. Глухово, ул. Центральная, д. 12а","Villa a la Russe Московская обл. ,д. Глухово, ул. Центральная, д. 12а"
